geoAreaName,type_of_product_desc,country+type,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,M2000,M2001,M2002,M2003,M2004,M2005,M2006,M2007,M2008,M2009,M2010,M2011,M2012,M2013,M2014,M2015,M2016,M2017,G2000,G2001,G2002,G2003,G2004,G2005,G2006,G2007,G2008,G2009,G2010,G2011,G2012,G2013,G2014,G2015,G2016,G2017
Rwanda,Wild catch and harvest,RwandaWild catch and harvest,0.00261,0.00243,0.00223,0.00228,0.00221,0.00176,0.00214,0.0026,0.00293,0.00297,0.00342,0.0046,0.00471,0.00465,0.00483,0.00471,0.0047,0.00467,0.00086,0.00083,0.00084,0.00087,0.00089,0.00076,0.00098,0.00125,0.00153,0.0016,0.00193,0.00273,0.00296,0.00298,0.00325,0.00336,0.00347,0.00357,2.47,4.57,10.55,0.67,5.91,7.4,6.76,4.98,8.23,3.43,4.59,5.3,6,2.18,3.57,6.12,3.25,1.26
Rwanda,Wood,RwandaWood,1.39698,1.30745,1.15519,1.13024,1.05311,0.96279,0.88147,0.81905,0.83461,0.78311,0.72927,0.67785,0.62344,0.59594,0.55482,0.50961,0.48653,0.4639,0.45706,0.44722,0.43639,0.42914,0.42294,0.41479,0.40511,0.39478,0.43516,0.42216,0.41081,0.40195,0.39147,0.38185,0.37315,0.36403,0.35943,0.35497,2.47,4.57,10.55,0.67,5.91,7.4,6.76,4.98,8.23,3.43,4.59,5.3,6,2.18,3.57,6.12,3.25,1.26
Samoa,Total or no breakdown,SamoaTotal or no breakdown,1.39344,1.20554,1.2036,1.17612,1.20609,1.36261,1.17727,1.12431,1.16687,1.34285,1.29383,1.32211,1.41965,1.35858,1.37584,1.36746,1.3125,1.34625,3.97683,3.69728,3.78652,3.88551,4.13394,4.87521,4.20964,4.24073,4.31511,4.73072,4.71972,4.95552,5.1589,4.92321,5.03857,5.11604,5.19274,5.26974,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Total or no breakdown,SamoaTotal or no breakdown,1.39344,1.20554,1.2036,1.17612,1.20609,1.36261,1.17727,1.12431,1.16687,1.34285,1.29383,1.32211,1.41965,1.35858,1.37584,1.36746,1.3125,1.34625,3.97683,3.69728,3.78652,3.88551,4.13394,4.87521,4.20964,4.24073,4.31511,4.73072,4.71972,4.95552,5.1589,4.92321,5.03857,5.11604,5.19274,5.26974,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Biomass,SamoaBiomass,1.1399,0.87943,0.90193,0.81653,0.98988,0.95853,0.94087,0.83781,0.89654,1.04611,0.96459,0.96381,1.00163,1.01398,0.99284,0.98637,0.94618,0.96998,3.25324,2.69715,2.83745,2.69753,3.39288,3.42949,3.36433,3.16009,3.31542,3.68536,3.51869,3.61254,3.63987,3.67447,3.63594,3.69028,3.74344,3.79685,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Biomass,SamoaBiomass,1.1399,0.87943,0.90193,0.81653,0.98988,0.95853,0.94087,0.83781,0.89654,1.04611,0.96459,0.96381,1.00163,1.01398,0.99284,0.98637,0.94618,0.96998,3.25324,2.69715,2.83745,2.69753,3.39288,3.42949,3.36433,3.16009,3.31542,3.68536,3.51869,3.61254,3.63987,3.67447,3.63594,3.69028,3.74344,3.79685,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Crop residues,SamoaCrop residues,0.49226,0.33721,0.34667,0.31824,0.42301,0.41632,0.41382,0.35726,0.39482,0.45728,0.43835,0.44321,0.45218,0.44974,0.46478,0.46439,0.44818,0.4621,1.40489,1.03419,1.09062,1.05136,1.4499,1.48954,1.47973,1.34754,1.46007,1.61094,1.59905,1.66123,1.64321,1.62976,1.70211,1.73743,1.77316,1.80885,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Crop residues,SamoaCrop residues,0.49226,0.33721,0.34667,0.31824,0.42301,0.41632,0.41382,0.35726,0.39482,0.45728,0.43835,0.44321,0.45218,0.44974,0.46478,0.46439,0.44818,0.4621,1.40489,1.03419,1.09062,1.05136,1.4499,1.48954,1.47973,1.34754,1.46007,1.61094,1.59905,1.66123,1.64321,1.62976,1.70211,1.73743,1.77316,1.80885,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Crops,SamoaCrops,0.44778,0.35451,0.36446,0.32706,0.39209,0.37439,0.37394,0.34151,0.3614,0.4386,0.38813,0.38228,0.40492,0.39995,0.40414,0.4018,0.38594,0.39615,1.27796,1.08727,1.14658,1.0805,1.3439,1.33953,1.33711,1.28811,1.33645,1.54516,1.41584,1.43285,1.47144,1.44935,1.48002,1.50325,1.52693,1.55069,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Crops,SamoaCrops,0.44778,0.35451,0.36446,0.32706,0.39209,0.37439,0.37394,0.34151,0.3614,0.4386,0.38813,0.38228,0.40492,0.39995,0.40414,0.4018,0.38594,0.39615,1.27796,1.08727,1.14658,1.0805,1.3439,1.33953,1.33711,1.28811,1.33645,1.54516,1.41584,1.43285,1.47144,1.44935,1.48002,1.50325,1.52693,1.55069,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
